"OID","SUBBASIN","ARSUB","LANDUSE","ARLU","SOIL","ARSO","SLP","ARSLP","SLOPE","UNIQUECOMB","HRU_ID","HRU_GIS"
2177,15.00,158094.56,"FRST",1567.68,"RVKMD",52.31,"11.8-9999",38.81,31.90,"15_FRST_RVKMD_11.8-9999",2177,"000150132"
2178,15.00,158094.56,"FRST",1567.68,"TL",21.93,"4.29-11.8",6.75,8.19,"15_FRST_TL_4.29-11.8",2178,"000150133"
2179,15.00,158094.56,"FRST",1567.68,"TL",21.93,"11.8-9999",11.81,19.09,"15_FRST_TL_11.8-9999",2179,"000150134"
2180,15.00,158094.56,"FRST",1567.68,"TL",21.93,"0-4.29",3.37,2.88,"15_FRST_TL_0-4.29",2180,"000150135"
2181,15.00,158094.56,"FRST",1567.68,"TLLAEA",33.18,"0-4.29",0.56,4.00,"15_FRST_TLLAEA_0-4.29",2181,"000150136"
2182,15.00,158094.56,"FRST",1567.68,"TLLAEA",33.18,"4.29-11.8",14.62,9.08,"15_FRST_TLLAEA_4.29-11.8",2182,"000150137"
2183,15.00,158094.56,"FRST",1567.68,"TLLAEA",33.18,"11.8-9999",18.00,15.60,"15_FRST_TLLAEA_11.8-9999",2183,"000150138"
2184,15.00,158094.56,"RNGB",375.75,"BEPLMT",12.37,"4.29-11.8",5.06,10.55,"15_RNGB_BEPLMT_4.29-11.8",2184,"000150139"
2185,15.00,158094.56,"RNGB",375.75,"BEPLMT",12.37,"11.8-9999",7.31,15.39,"15_RNGB_BEPLMT_11.8-9999",2185,"000150140"
2186,15.00,158094.56,"RNGB",375.75,"BEQSK",311.62,"0-4.29",154.68,2.54,"15_RNGB_BEQSK_0-4.29",2186,"000150141"
2187,15.00,158094.56,"RNGB",375.75,"BEQSK",311.62,"4.29-11.8",121.50,7.01,"15_RNGB_BEQSK_4.29-11.8",2187,"000150142"
2188,15.00,158094.56,"RNGB",375.75,"BEQSK",311.62,"11.8-9999",35.43,16.56,"15_RNGB_BEQSK_11.8-9999",2188,"000150143"
2189,15.00,158094.56,"RNGB",375.75,"BESVL",27.00,"0-4.29",27.00,1.82,"15_RNGB_BESVL_0-4.29",2189,"000150144"
2190,15.00,158094.56,"RNGB",375.75,"FEAL",1.68,"4.29-11.8",1.68,7.01,"15_RNGB_FEAL_4.29-11.8",2190,"000150145"
2191,15.00,158094.56,"RNGB",375.75,"TPBEL",23.06,"0-4.29",22.50,1.45,"15_RNGB_TPBEL_0-4.29",2191,"000150146"
2192,15.00,158094.56,"RNGB",375.75,"TPBEL",23.06,"4.29-11.8",0.56,4.85,"15_RNGB_TPBEL_4.29-11.8",2192,"000150147"
2193,15.00,158094.56,"WATR",543.37,"AGVKTU",90.00,"0-4.29",84.93,1.75,"15_WATR_AGVKTU_0-4.29",2193,"000150148"
2194,15.00,158094.56,"WATR",543.37,"AGVKTU",90.00,"4.29-11.8",5.06,5.13,"15_WATR_AGVKTU_4.29-11.8",2194,"000150149"
2195,15.00,158094.56,"WATR",543.37,"PRKLA",352.12,"0-4.29",345.37,1.22,"15_WATR_PRKLA_0-4.29",2195,"000150150"
2196,15.00,158094.56,"WATR",543.37,"PRKLA",352.12,"4.29-11.8",6.75,4.78,"15_WATR_PRKLA_4.29-11.8",2196,"000150151"
2197,15.00,158094.56,"WATR",543.37,"TL",74.81,"0-4.29",54.56,1.14,"15_WATR_TL_0-4.29",2197,"000150152"
2198,15.00,158094.56,"WATR",543.37,"TL",74.81,"4.29-11.8",17.43,6.03,"15_WATR_TL_4.29-11.8",2198,"000150153"
2199,15.00,158094.56,"WATR",543.37,"TL",74.81,"11.8-9999",2.81,13.22,"15_WATR_TL_11.8-9999",2199,"000150154"
2200,15.00,158094.56,"WATR",543.37,"TLLAEA",26.43,"4.29-11.8",4.50,5.54,"15_WATR_TLLAEA_4.29-11.8",2200,"000150155"
2201,15.00,158094.56,"WATR",543.37,"TLLAEA",26.43,"0-4.29",21.93,1.80,"15_WATR_TLLAEA_0-4.29",2201,"000150156"
2202,15.00,158094.56,"A1XX",129854.25,"AGVKTU",19503.00,"0-4.29",15922.68,1.33,"15_A1XX_AGVKTU_0-4.29",2202,"000150157"
2203,15.00,158094.56,"A1XX",129854.25,"AGVKTU",19503.00,"4.29-11.8",2895.18,6.84,"15_A1XX_AGVKTU_4.29-11.8",2203,"000150158"
2204,15.00,158094.56,"A1XX",129854.25,"AGVKTU",19503.00,"11.8-9999",685.12,17.52,"15_A1XX_AGVKTU_11.8-9999",2204,"000150159"
2205,15.00,158094.56,"A1XX",129854.25,"BEPLMT",22297.50,"11.8-9999",954.00,15.58,"15_A1XX_BEPLMT_11.8-9999",2205,"000150160"
2206,15.00,158094.56,"A1XX",129854.25,"BEPLMT",22297.50,"4.29-11.8",9087.18,6.50,"15_A1XX_BEPLMT_4.29-11.8",2206,"000150161"
2207,15.00,158094.56,"A1XX",129854.25,"BEPLMT",22297.50,"0-4.29",12256.31,2.63,"15_A1XX_BEPLMT_0-4.29",2207,"000150162"
2208,15.00,158094.56,"A1XX",129854.25,"BEQSK",828.56,"0-4.29",268.87,2.58,"15_A1XX_BEQSK_0-4.29",2208,"000150163"
2209,15.00,158094.56,"A1XX",129854.25,"BEQSK",828.56,"4.29-11.8",443.81,7.35,"15_A1XX_BEQSK_4.29-11.8",2209,"000150164"
2210,15.00,158094.56,"A1XX",129854.25,"BEQSK",828.56,"11.8-9999",115.87,15.96,"15_A1XX_BEQSK_11.8-9999",2210,"000150165"
2211,15.00,158094.56,"A1XX",129854.25,"BESVL",2270.25,"11.8-9999",27.56,13.84,"15_A1XX_BESVL_11.8-9999",2211,"000150166"
2212,15.00,158094.56,"A1XX",129854.25,"BESVL",2270.25,"4.29-11.8",675.00,6.48,"15_A1XX_BESVL_4.29-11.8",2212,"000150167"
2213,15.00,158094.56,"A1XX",129854.25,"BESVL",2270.25,"0-4.29",1567.68,2.42,"15_A1XX_BESVL_0-4.29",2213,"000150168"
2214,15.00,158094.56,"A1XX",129854.25,"FEAL",5423.62,"11.8-9999",455.06,16.58,"15_A1XX_FEAL_11.8-9999",2214,"000150169"
2215,15.00,158094.56,"A1XX",129854.25,"FEAL",5423.62,"0-4.29",2496.37,2.66,"15_A1XX_FEAL_0-4.29",2215,"000150170"
2216,15.00,158094.56,"A1XX",129854.25,"FEAL",5423.62,"4.29-11.8",2472.18,6.82,"15_A1XX_FEAL_4.29-11.8",2216,"000150171"
2217,15.00,158094.56,"A1XX",129854.25,"PRAAG",24.18,"0-4.29",19.68,1.48,"15_A1XX_PRAAG_0-4.29",2217,"000150172"
2218,15.00,158094.56,"A1XX",129854.25,"PRAAG",24.18,"4.29-11.8",4.50,6.11,"15_A1XX_PRAAG_4.29-11.8",2218,"000150173"
2219,15.00,158094.56,"A1XX",129854.25,"PRKLA",4915.12,"11.8-9999",10.68,12.80,"15_A1XX_PRKLA_11.8-9999",2219,"000150174"
2220,15.00,158094.56,"A1XX",129854.25,"PRKLA",4915.12,"0-4.29",4599.56,1.22,"15_A1XX_PRKLA_0-4.29",2220,"000150175"
2221,15.00,158094.56,"A1XX",129854.25,"PRKLA",4915.12,"4.29-11.8",304.87,6.02,"15_A1XX_PRKLA_4.29-11.8",2221,"000150176"
2222,15.00,158094.56,"A1XX",129854.25,"RVKMD",299.25,"4.29-11.8",154.12,7.49,"15_A1XX_RVKMD_4.29-11.8",2222,"000150177"
2223,15.00,158094.56,"A1XX",129854.25,"RVKMD",299.25,"0-4.29",90.56,2.81,"15_A1XX_RVKMD_0-4.29",2223,"000150178"
2224,15.00,158094.56,"A1XX",129854.25,"RVKMD",299.25,"11.8-9999",54.56,17.65,"15_A1XX_RVKMD_11.8-9999",2224,"000150179"
2225,15.00,158094.56,"A1XX",129854.25,"TL",21472.87,"11.8-9999",257.62,15.03,"15_A1XX_TL_11.8-9999",2225,"000150180"
2226,15.00,158094.56,"A1XX",129854.25,"TL",21472.87,"4.29-11.8",5850.00,6.11,"15_A1XX_TL_4.29-11.8",2226,"000150181"
2227,15.00,158094.56,"A1XX",129854.25,"TL",21472.87,"0-4.29",15365.25,2.35,"15_A1XX_TL_0-4.29",2227,"000150182"
2228,15.00,158094.56,"A1XX",129854.25,"TLLAEA",40249.68,"0-4.29",29455.87,2.12,"15_A1XX_TLLAEA_0-4.29",2228,"000150183"
2229,15.00,158094.56,"A1XX",129854.25,"TLLAEA",40249.68,"4.29-11.8",10100.25,6.36,"15_A1XX_TLLAEA_4.29-11.8",2229,"000150184"
2230,15.00,158094.56,"A1XX",129854.25,"TLLAEA",40249.68,"11.8-9999",693.56,14.74,"15_A1XX_TLLAEA_11.8-9999",2230,"000150185"
2231,15.00,158094.56,"A1XX",129854.25,"TPBEL",12570.18,"11.8-9999",104.06,14.65,"15_A1XX_TPBEL_11.8-9999",2231,"000150186"
2232,15.00,158094.56,"A1XX",129854.25,"TPBEL",12570.18,"0-4.29",8962.31,2.48,"15_A1XX_TPBEL_0-4.29",2232,"000150187"
2233,15.00,158094.56,"A1XX",129854.25,"TPBEL",12570.18,"4.29-11.8",3503.81,6.01,"15_A1XX_TPBEL_4.29-11.8",2233,"000150188"
2234,16.00,114942.93,"URMD",6390.56,"AGVKTU",2320.87,"11.8-9999",79.31,16.43,"16_URMD_AGVKTU_11.8-9999",2234,"000160001"
2235,16.00,114942.93,"URMD",6390.56,"AGVKTU",2320.87,"4.29-11.8",388.68,6.74,"16_URMD_AGVKTU_4.29-11.8",2235,"000160002"
2236,16.00,114942.93,"URMD",6390.56,"AGVKTU",2320.87,"0-4.29",1852.87,1.77,"16_URMD_AGVKTU_0-4.29",2236,"000160003"
2237,16.00,114942.93,"URMD",6390.56,"AGVLTA",65.81,"4.29-11.8",2.25,5.15,"16_URMD_AGVLTA_4.29-11.8",2237,"000160004"
2238,16.00,114942.93,"URMD",6390.56,"AGVLTA",65.81,"0-4.29",63.56,1.50,"16_URMD_AGVLTA_0-4.29",2238,"000160005"
2239,16.00,114942.93,"URMD",6390.56,"BELVTS",0.56,"0-4.29",0.56,1.37,"16_URMD_BELVTS_0-4.29",2239,"000160006"
2240,16.00,114942.93,"URMD",6390.56,"BEQSK",255.93,"11.8-9999",2.81,15.78,"16_URMD_BEQSK_11.8-9999",2240,"000160007"
2241,16.00,114942.93,"URMD",6390.56,"BEQSK",255.93,"4.29-11.8",84.37,6.38,"16_URMD_BEQSK_4.29-11.8",2241,"000160008"
2242,16.00,114942.93,"URMD",6390.56,"BEQSK",255.93,"0-4.29",168.75,2.55,"16_URMD_BEQSK_0-4.29",2242,"000160009"
2243,16.00,114942.93,"URMD",6390.56,"BESVL",1054.12,"11.8-9999",79.87,16.80,"16_URMD_BESVL_11.8-9999",2243,"000160010"
2244,16.00,114942.93,"URMD",6390.56,"BESVL",1054.12,"0-4.29",528.75,2.28,"16_URMD_BESVL_0-4.29",2244,"000160011"
2245,16.00,114942.93,"URMD",6390.56,"BESVL",1054.12,"4.29-11.8",445.50,7.01,"16_URMD_BESVL_4.29-11.8",2245,"000160012"
2246,16.00,114942.93,"URMD",6390.56,"BETL",615.37,"11.8-9999",55.12,16.67,"16_URMD_BETL_11.8-9999",2246,"000160013"
2247,16.00,114942.93,"URMD",6390.56,"BETL",615.37,"0-4.29",352.12,2.54,"16_URMD_BETL_0-4.29",2247,"000160014"
2248,16.00,114942.93,"URMD",6390.56,"BETL",615.37,"4.29-11.8",208.12,6.70,"16_URMD_BETL_4.29-11.8",2248,"000160015"
2249,16.00,114942.93,"URMD",6390.56,"FEAL",392.62,"11.8-9999",11.81,15.64,"16_URMD_FEAL_11.8-9999",2249,"000160016"
2250,16.00,114942.93,"URMD",6390.56,"FEAL",392.62,"0-4.29",259.31,2.09,"16_URMD_FEAL_0-4.29",2250,"000160017"
2251,16.00,114942.93,"URMD",6390.56,"FEAL",392.62,"4.29-11.8",121.50,6.30,"16_URMD_FEAL_4.29-11.8",2251,"000160018"
2252,16.00,114942.93,"URMD",6390.56,"RVKMD",164.25,"4.29-11.8",74.25,7.64,"16_URMD_RVKMD_4.29-11.8",2252,"000160019"
2253,16.00,114942.93,"URMD",6390.56,"RVKMD",164.25,"0-4.29",55.68,2.43,"16_URMD_RVKMD_0-4.29",2253,"000160020"
2254,16.00,114942.93,"URMD",6390.56,"RVKMD",164.25,"11.8-9999",34.31,17.92,"16_URMD_RVKMD_11.8-9999",2254,"000160021"
2255,16.00,114942.93,"URMD",6390.56,"TL",339.18,"11.8-9999",4.50,13.93,"16_URMD_TL_11.8-9999",2255,"000160022"
2256,16.00,114942.93,"URMD",6390.56,"TL",339.18,"0-4.29",268.87,2.24,"16_URMD_TL_0-4.29",2256,"000160023"
2257,16.00,114942.93,"URMD",6390.56,"TL",339.18,"4.29-11.8",65.81,6.59,"16_URMD_TL_4.29-11.8",2257,"000160024"
2258,16.00,114942.93,"URMD",6390.56,"TPBEL",1181.81,"11.8-9999",33.75,15.12,"16_URMD_TPBEL_11.8-9999",2258,"000160025"
2259,16.00,114942.93,"URMD",6390.56,"TPBEL",1181.81,"0-4.29",807.75,2.32,"16_URMD_TPBEL_0-4.29",2259,"000160026"
2260,16.00,114942.93,"URMD",6390.56,"TPBEL",1181.81,"4.29-11.8",340.31,6.41,"16_URMD_TPBEL_4.29-11.8",2260,"000160027"
2261,16.00,114942.93,"BARR",493.31,"AGVKTU",28.12,"0-4.29",28.12,0.74,"16_BARR_AGVKTU_0-4.29",2261,"000160028"
2262,16.00,114942.93,"BARR",493.31,"BETL",99.00,"11.8-9999",54.56,19.22,"16_BARR_BETL_11.8-9999",2262,"000160029"
2263,16.00,114942.93,"BARR",493.31,"BETL",99.00,"4.29-11.8",28.12,7.52,"16_BARR_BETL_4.29-11.8",2263,"000160030"
2264,16.00,114942.93,"BARR",493.31,"BETL",99.00,"0-4.29",16.31,2.51,"16_BARR_BETL_0-4.29",2264,"000160031"
2265,16.00,114942.93,"BARR",493.31,"TL",113.62,"11.8-9999",34.31,17.04,"16_BARR_TL_11.8-9999",2265,"000160032"
2266,16.00,114942.93,"BARR",493.31,"TL",113.62,"0-4.29",41.06,1.95,"16_BARR_TL_0-4.29",2266,"000160033"
2267,16.00,114942.93,"BARR",493.31,"TL",113.62,"4.29-11.8",38.25,8.50,"16_BARR_TL_4.29-11.8",2267,"000160034"
2268,16.00,114942.93,"BARR",493.31,"TPBEL",252.56,"0-4.29",84.93,2.46,"16_BARR_TPBEL_0-4.29",2268,"000160035"
2269,16.00,114942.93,"BARR",493.31,"TPBEL",252.56,"4.29-11.8",112.50,7.14,"16_BARR_TPBEL_4.29-11.8",2269,"000160036"
2270,16.00,114942.93,"BARR",493.31,"TPBEL",252.56,"11.8-9999",55.12,20.71,"16_BARR_TPBEL_11.8-9999",2270,"000160037"
2271,16.00,114942.93,"PAST",2846.25,"AGVKTU",2248.87,"4.29-11.8",84.93,7.26,"16_PAST_AGVKTU_4.29-11.8",2271,"000160038"
2272,16.00,114942.93,"PAST",2846.25,"AGVKTU",2248.87,"0-4.29",2118.93,0.97,"16_PAST_AGVKTU_0-4.29",2272,"000160039"
2273,16.00,114942.93,"PAST",2846.25,"AGVKTU",2248.87,"11.8-9999",45.00,19.34,"16_PAST_AGVKTU_11.8-9999",2273,"000160040"
2274,16.00,114942.93,"PAST",2846.25,"BELVSI",50.06,"11.8-9999",11.25,14.30,"16_PAST_BELVSI_11.8-9999",2274,"000160041"
2275,16.00,114942.93,"PAST",2846.25,"BELVSI",50.06,"0-4.29",12.37,3.04,"16_PAST_BELVSI_0-4.29",2275,"000160042"
2276,16.00,114942.93,"PAST",2846.25,"BELVSI",50.06,"4.29-11.8",26.43,7.98,"16_PAST_BELVSI_4.29-11.8",2276,"000160043"
2277,16.00,114942.93,"PAST",2846.25,"BELVTS",35.43,"0-4.29",2.25,3.49,"16_PAST_BELVTS_0-4.29",2277,"000160044"
2278,16.00,114942.93,"PAST",2846.25,"BELVTS",35.43,"4.29-11.8",27.56,7.44,"16_PAST_BELVTS_4.29-11.8",2278,"000160045"
2279,16.00,114942.93,"PAST",2846.25,"BELVTS",35.43,"11.8-9999",5.62,14.17,"16_PAST_BELVTS_11.8-9999",2279,"000160046"
2280,16.00,114942.93,"PAST",2846.25,"BEQSK",39.37,"0-4.29",2.81,3.02,"16_PAST_BEQSK_0-4.29",2280,"000160047"
2281,16.00,114942.93,"PAST",2846.25,"BEQSK",39.37,"4.29-11.8",10.68,7.56,"16_PAST_BEQSK_4.29-11.8",2281,"000160048"
2282,16.00,114942.93,"PAST",2846.25,"BEQSK",39.37,"11.8-9999",25.87,20.33,"16_PAST_BEQSK_11.8-9999",2282,"000160049"
2283,16.00,114942.93,"PAST",2846.25,"BESVL",143.43,"11.8-9999",66.37,16.47,"16_PAST_BESVL_11.8-9999",2283,"000160050"
2284,16.00,114942.93,"PAST",2846.25,"BESVL",143.43,"4.29-11.8",61.87,8.58,"16_PAST_BESVL_4.29-11.8",2284,"000160051"
2285,16.00,114942.93,"PAST",2846.25,"BESVL",143.43,"0-4.29",15.18,2.84,"16_PAST_BESVL_0-4.29",2285,"000160052"
2286,16.00,114942.93,"PAST",2846.25,"BETL",113.62,"11.8-9999",41.62,15.74,"16_PAST_BETL_11.8-9999",2286,"000160053"
2287,16.00,114942.93,"PAST",2846.25,"BETL",113.62,"0-4.29",16.31,2.80,"16_PAST_BETL_0-4.29",2287,"000160054"
2288,16.00,114942.93,"PAST",2846.25,"BETL",113.62,"4.29-11.8",55.68,7.54,"16_PAST_BETL_4.29-11.8",2288,"000160055"
2289,16.00,114942.93,"PAST",2846.25,"FEAL",5.06,"0-4.29",1.68,2.64,"16_PAST_FEAL_0-4.29",2289,"000160056"
2290,16.00,114942.93,"PAST",2846.25,"FEAL",5.06,"4.29-11.8",3.37,9.92,"16_PAST_FEAL_4.29-11.8",2290,"000160057"
2291,16.00,114942.93,"PAST",2846.25,"RVKMD",7.31,"4.29-11.8",2.81,8.06,"16_PAST_RVKMD_4.29-11.8",2291,"000160058"
2292,16.00,114942.93,"PAST",2846.25,"RVKMD",7.31,"11.8-9999",4.50,18.28,"16_PAST_RVKMD_11.8-9999",2292,"000160059"
2293,16.00,114942.93,"PAST",2846.25,"TL",6.18,"0-4.29",6.18,1.46,"16_PAST_TL_0-4.29",2293,"000160060"
2294,16.00,114942.93,"PAST",2846.25,"TPBEL",196.87,"4.29-11.8",9.00,7.41,"16_PAST_TPBEL_4.29-11.8",2294,"000160061"
2295,16.00,114942.93,"PAST",2846.25,"TPBEL",196.87,"0-4.29",180.00,1.17,"16_PAST_TPBEL_0-4.29",2295,"000160062"
2296,16.00,114942.93,"PAST",2846.25,"TPBEL",196.87,"11.8-9999",7.87,18.83,"16_PAST_TPBEL_11.8-9999",2296,"000160063"
2297,16.00,114942.93,"FRSD",19881.00,"AGVKTU",566.43,"0-4.29",34.31,2.95,"16_FRSD_AGVKTU_0-4.29",2297,"000160064"
2298,16.00,114942.93,"FRSD",19881.00,"AGVKTU",566.43,"4.29-11.8",136.12,8.36,"16_FRSD_AGVKTU_4.29-11.8",2298,"000160065"
2299,16.00,114942.93,"FRSD",19881.00,"AGVKTU",566.43,"11.8-9999",396.00,23.10,"16_FRSD_AGVKTU_11.8-9999",2299,"000160066"
2300,16.00,114942.93,"FRSD",19881.00,"BELVSI",2200.50,"4.29-11.8",954.00,7.99,"16_FRSD_BELVSI_4.29-11.8",2300,"000160067"
2301,16.00,114942.93,"FRSD",19881.00,"BELVSI",2200.50,"0-4.29",321.18,2.72,"16_FRSD_BELVSI_0-4.29",2301,"000160068"
2302,16.00,114942.93,"FRSD",19881.00,"BELVSI",2200.50,"11.8-9999",925.31,18.65,"16_FRSD_BELVSI_11.8-9999",2302,"000160069"
2303,16.00,114942.93,"FRSD",19881.00,"BELVTS",2134.68,"0-4.29",165.93,2.80,"16_FRSD_BELVTS_0-4.29",2303,"000160070"
2304,16.00,114942.93,"FRSD",19881.00,"BELVTS",2134.68,"11.8-9999",1113.18,20.85,"16_FRSD_BELVTS_11.8-9999",2304,"000160071"
2305,16.00,114942.93,"FRSD",19881.00,"BELVTS",2134.68,"4.29-11.8",855.56,8.28,"16_FRSD_BELVTS_4.29-11.8",2305,"000160072"
2306,16.00,114942.93,"FRSD",19881.00,"BEPLMT",105.18,"0-4.29",11.25,2.88,"16_FRSD_BEPLMT_0-4.29",2306,"000160073"
2307,16.00,114942.93,"FRSD",19881.00,"BEPLMT",105.18,"4.29-11.8",29.81,7.18,"16_FRSD_BEPLMT_4.29-11.8",2307,"000160074"
2308,16.00,114942.93,"FRSD",19881.00,"BEPLMT",105.18,"11.8-9999",64.12,25.65,"16_FRSD_BEPLMT_11.8-9999",2308,"000160075"
2309,16.00,114942.93,"FRSD",19881.00,"BEQSK",3097.68,"11.8-9999",1410.18,18.96,"16_FRSD_BEQSK_11.8-9999",2309,"000160076"
2310,16.00,114942.93,"FRSD",19881.00,"BEQSK",3097.68,"4.29-11.8",1231.87,8.05,"16_FRSD_BEQSK_4.29-11.8",2310,"000160077"
2311,16.00,114942.93,"FRSD",19881.00,"BEQSK",3097.68,"0-4.29",455.62,2.67,"16_FRSD_BEQSK_0-4.29",2311,"000160078"
2312,16.00,114942.93,"FRSD",19881.00,"BESVL",6139.68,"11.8-9999",1580.06,17.61,"16_FRSD_BESVL_11.8-9999",2312,"000160079"
2313,16.00,114942.93,"FRSD",19881.00,"BESVL",6139.68,"0-4.29",1842.75,2.54,"16_FRSD_BESVL_0-4.29",2313,"000160080"
2314,16.00,114942.93,"FRSD",19881.00,"BESVL",6139.68,"4.29-11.8",2716.87,7.50,"16_FRSD_BESVL_4.29-11.8",2314,"000160081"
2315,16.00,114942.93,"FRSD",19881.00,"BETL",1002.37,"4.29-11.8",417.37,7.86,"16_FRSD_BETL_4.29-11.8",2315,"000160082"
2316,16.00,114942.93,"FRSD",19881.00,"BETL",1002.37,"11.8-9999",419.06,17.70,"16_FRSD_BETL_11.8-9999",2316,"000160083"
2317,16.00,114942.93,"FRSD",19881.00,"BETL",1002.37,"0-4.29",165.93,2.55,"16_FRSD_BETL_0-4.29",2317,"000160084"
2318,16.00,114942.93,"FRSD",19881.00,"FEAL",2354.06,"4.29-11.8",1012.50,7.63,"16_FRSD_FEAL_4.29-11.8",2318,"000160085"
2319,16.00,114942.93,"FRSD",19881.00,"FEAL",2354.06,"0-4.29",457.31,2.65,"16_FRSD_FEAL_0-4.29",2319,"000160086"
2320,16.00,114942.93,"FRSD",19881.00,"FEAL",2354.06,"11.8-9999",884.25,19.52,"16_FRSD_FEAL_11.8-9999",2320,"000160087"
2321,16.00,114942.93,"FRSD",19881.00,"RVKMD",2050.87,"0-4.29",156.93,2.74,"16_FRSD_RVKMD_0-4.29",2321,"000160088"
2322,16.00,114942.93,"FRSD",19881.00,"RVKMD",2050.87,"11.8-9999",1054.12,19.33,"16_FRSD_RVKMD_11.8-9999",2322,"000160089"
2323,16.00,114942.93,"FRSD",19881.00,"RVKMD",2050.87,"4.29-11.8",839.81,8.26,"16_FRSD_RVKMD_4.29-11.8",2323,"000160090"
2324,16.00,114942.93,"FRSD",19881.00,"TL",150.18,"11.8-9999",21.93,16.80,"16_FRSD_TL_11.8-9999",2324,"000160091"
2325,16.00,114942.93,"FRSD",19881.00,"TL",150.18,"4.29-11.8",68.06,6.94,"16_FRSD_TL_4.29-11.8",2325,"000160092"
2326,16.00,114942.93,"FRSD",19881.00,"TL",150.18,"0-4.29",60.18,2.50,"16_FRSD_TL_0-4.29",2326,"000160093"
2327,16.00,114942.93,"FRSD",19881.00,"TPBEL",79.31,"4.29-11.8",37.12,8.47,"16_FRSD_TPBEL_4.29-11.8",2327,"000160094"
2328,16.00,114942.93,"FRSD",19881.00,"TPBEL",79.31,"11.8-9999",37.68,17.63,"16_FRSD_TPBEL_11.8-9999",2328,"000160095"
2329,16.00,114942.93,"FRSD",19881.00,"TPBEL",79.31,"0-4.29",4.50,3.06,"16_FRSD_TPBEL_0-4.29",2329,"000160096"
2330,16.00,114942.93,"FRSE",1570.50,"AGVKTU",116.43,"11.8-9999",92.81,27.38,"16_FRSE_AGVKTU_11.8-9999",2330,"000160097"
2331,16.00,114942.93,"FRSE",1570.50,"AGVKTU",116.43,"4.29-11.8",12.37,7.63,"16_FRSE_AGVKTU_4.29-11.8",2331,"000160098"
2332,16.00,114942.93,"FRSE",1570.50,"AGVKTU",116.43,"0-4.29",11.25,2.61,"16_FRSE_AGVKTU_0-4.29",2332,"000160099"
2333,16.00,114942.93,"FRSE",1570.50,"BELVSI",284.62,"4.29-11.8",141.75,7.17,"16_FRSE_BELVSI_4.29-11.8",2333,"000160100"
2334,16.00,114942.93,"FRSE",1570.50,"BELVSI",284.62,"11.8-9999",87.75,18.64,"16_FRSE_BELVSI_11.8-9999",2334,"000160101"
2335,16.00,114942.93,"FRSE",1570.50,"BELVSI",284.62,"0-4.29",55.12,2.74,"16_FRSE_BELVSI_0-4.29",2335,"000160102"
2336,16.00,114942.93,"FRSE",1570.50,"BELVTS",432.00,"0-4.29",68.06,2.84,"16_FRSE_BELVTS_0-4.29",2336,"000160103"
2337,16.00,114942.93,"FRSE",1570.50,"BELVTS",432.00,"11.8-9999",118.12,18.95,"16_FRSE_BELVTS_11.8-9999",2337,"000160104"
2338,16.00,114942.93,"FRSE",1570.50,"BELVTS",432.00,"4.29-11.8",245.81,7.76,"16_FRSE_BELVTS_4.29-11.8",2338,"000160105"
2339,16.00,114942.93,"FRSE",1570.50,"BEQSK",23.06,"4.29-11.8",14.62,5.81,"16_FRSE_BEQSK_4.29-11.8",2339,"000160106"
2340,16.00,114942.93,"FRSE",1570.50,"BEQSK",23.06,"0-4.29",8.43,2.57,"16_FRSE_BEQSK_0-4.29",2340,"000160107"
2341,16.00,114942.93,"FRSE",1570.50,"BESVL",338.06,"11.8-9999",111.37,21.00,"16_FRSE_BESVL_11.8-9999",2341,"000160108"
2342,16.00,114942.93,"FRSE",1570.50,"BESVL",338.06,"0-4.29",91.12,2.69,"16_FRSE_BESVL_0-4.29",2342,"000160109"
2343,16.00,114942.93,"FRSE",1570.50,"BESVL",338.06,"4.29-11.8",135.56,7.26,"16_FRSE_BESVL_4.29-11.8",2343,"000160110"
2344,16.00,114942.93,"FRSE",1570.50,"BETL",2.81,"11.8-9999",0.56,15.06,"16_FRSE_BETL_11.8-9999",2344,"000160111"
2345,16.00,114942.93,"FRSE",1570.50,"BETL",2.81,"4.29-11.8",2.25,8.02,"16_FRSE_BETL_4.29-11.8",2345,"000160112"
2346,16.00,114942.93,"FRSE",1570.50,"FEAL",113.06,"11.8-9999",35.43,16.16,"16_FRSE_FEAL_11.8-9999",2346,"000160113"
2347,16.00,114942.93,"FRSE",1570.50,"FEAL",113.06,"4.29-11.8",63.56,7.98,"16_FRSE_FEAL_4.29-11.8",2347,"000160114"
2348,16.00,114942.93,"FRSE",1570.50,"FEAL",113.06,"0-4.29",14.06,2.70,"16_FRSE_FEAL_0-4.29",2348,"000160115"
2349,16.00,114942.93,"FRSE",1570.50,"RVKMD",151.87,"11.8-9999",35.43,17.11,"16_FRSE_RVKMD_11.8-9999",2349,"000160116"
2350,16.00,114942.93,"FRSE",1570.50,"RVKMD",151.87,"4.29-11.8",103.50,7.75,"16_FRSE_RVKMD_4.29-11.8",2350,"000160117"
2351,16.00,114942.93,"FRSE",1570.50,"RVKMD",151.87,"0-4.29",12.93,3.56,"16_FRSE_RVKMD_0-4.29",2351,"000160118"
2352,16.00,114942.93,"FRSE",1570.50,"TL",15.75,"4.29-11.8",3.37,10.40,"16_FRSE_TL_4.29-11.8",2352,"000160119"
2353,16.00,114942.93,"FRSE",1570.50,"TL",15.75,"11.8-9999",1.68,12.58,"16_FRSE_TL_11.8-9999",2353,"000160120"
